n,total
1,0.041965007782
1,0.0527889728546
1,0.053633928299
2,0.0474810600281
2,0.0566539764404
2,0.0468690395355
5,0.0510349273682
5,0.0513260364532
5,0.0503120422363
10,0.0618329048157
10,0.0495760440826
10,0.0657680034637
20,0.0577499866486
20,0.0582520961761
20,0.0559408664703
50,0.0683801174164
50,0.0698959827423
50,0.0693011283875
100,0.0876250267029
100,0.0852651596069
100,0.0848469734192
200,0.120890140533
200,0.128177881241
200,0.121836900711
500,0.211998939514
500,0.208164930344
500,0.218549966812
1000,0.503170013428
1000,0.364284992218
1000,0.381675004959
2000,0.70849108696
2000,0.683835983276
2000,0.674605131149
5000,1.61899781227
5000,1.71562981606
5000,1.85023999214
10000,3.90515589714
10000,4.10298085213
10000,4.36607003212
20000,9.52245116234
20000,10.2742481232
20000,9.58919882774
50000,46.2909610271
50000,47.3358149529
50000,47.4378230572
100000,180.382548809
100000,175.081573009
100000,179.910634041
