n,total
1,0.0207450389862
1,0.0189900398254
1,0.0197529792786
2,0.0239861011505
2,0.0208101272583
2,0.0256311893463
5,0.0221450328827
5,0.0240790843964
5,0.02192902565
10,0.0292370319366
10,0.0278379917145
10,0.022449016571
20,0.0256278514862
20,0.024796962738
20,0.0293841362
50,0.0357129573822
50,0.0337941646576
50,0.0342109203339
100,0.0581140518188
100,0.058620929718
100,0.0599398612976
200,0.0840849876404
200,0.083703994751
200,0.0804479122162
500,0.188769817352
500,0.194946050644
500,0.257730960846
1000,0.538936138153
1000,0.408590078354
1000,0.426214933395
2000,0.999498128891
2000,1.03216195107
2000,0.99109005928
5000,4.43455314636
5000,4.22201609612
5000,4.44158601761
10000,14.2372980118
10000,15.25106287
10000,14.8242759705
