n,total
1,0.0195531845093
1,0.0190689563751
1,0.0200898647308
2,0.0249400138855
2,0.0199229717255
2,0.0259730815887
5,0.0197088718414
5,0.0282900333405
5,0.0206968784332
10,0.0216660499573
10,0.0276460647583
10,0.0304839611053
20,0.0234560966492
20,0.0310680866241
20,0.024729013443
50,0.0393421649933
50,0.0371069908142
50,0.0342440605164
100,0.0571999549866
100,0.0580348968506
100,0.0543041229248
200,0.0858459472656
200,0.0857682228088
200,0.0850658416748
500,0.227335214615
500,0.237969875336
500,0.305001020432
1000,0.589537143707
1000,0.62491607666
1000,0.573333024979
2000,2.10260915756
2000,2.12320709229
2000,1.94842505455
5000,12.2691290379
5000,11.8125882149
5000,11.6915149689
10000,54.0148370266
10000,46.5902061462
10000,44.2273108959
