n,total
1,0.0192408561707
1,0.0191190242767
1,0.0189638137817
2,0.0207250118256
2,0.0194270610809
2,0.0224177837372
5,0.0200328826904
5,0.019679069519
5,0.0202698707581
10,0.0284099578857
10,0.0216708183289
10,0.0228259563446
20,0.0242118835449
20,0.0253729820251
20,0.023323059082
50,0.0332400798798
50,0.0306348800659
50,0.0355658531189
100,0.0508511066437
100,0.0472888946533
100,0.0491919517517
200,0.0793449878693
200,0.0807747840881
200,0.0769801139832
500,0.209733963013
500,0.210666894913
500,0.207572937012
1000,0.562572956085
1000,0.554151058197
1000,0.557099103928
2000,2.12333393097
2000,1.92755508423
2000,1.83481788635
5000,11.8185470104
5000,12.2759449482
5000,11.3986759186
10000,45.1867759228
10000,44.0424449444
10000,44.9913539886
20000,169.601438999
20000,164.696507931
20000,170.869586945
