n,t
0,0
20000,61
40000,42
60000,61
80000,25
100000,35
120000,59
140000,101
160000,122
180000,160
200000,206
220000,298
240000,333
260000,390
280000,452
300000,500
320000,543
340000,585
360000,585
380000,681
400000,646
420000,696
440000,765
460000,798
480000,787
500000,840
520000,933
540000,990
560000,967
580000,1035
600000,1022
620000,1125
640000,1104
660000,1178
680000,1263
700000,1230
720000,1234
740000,1345
760000,1286
780000,1408
800000,1358
820000,1419
840000,1495
860000,1547
880000,1569
900000,1590
920000,1659
940000,1618
960000,1731
980000,1743
