n,total
1,0.262286901474
1,0.148348093033
1,0.154901981354
1,0.0969660282135
50000,0.151840925217
50000,0.143387079239
50000,0.146394968033
50000,0.148449897766
99999,0.204329013824
99999,0.208081960678
99999,0.198781013489
99999,0.197422981262
149998,0.366204023361
149998,0.356230020523
149998,0.362669229507
149998,0.353266000748
199997,0.308990955353
199997,0.306042194366
199997,0.392590045929
199997,0.316344976425
249996,0.786960124969
249996,0.795482873917
249996,0.80039191246
249996,0.881186962128
299995,0.641664028168
299995,0.638276100159
299995,0.629431962967
299995,0.641983032227
349994,0.562705039978
349994,0.558542966843
349994,0.55849313736
349994,0.559419870377
399993,0.498016834259
399993,0.501253128052
399993,0.489737987518
399993,0.508092880249
449992,3.21263504028
449992,3.17671990395
449992,3.21785593033
449992,3.24399113655
499991,3.73026299477
499991,3.69645881653
499991,3.7400200367
499991,3.70139598846
549990,3.60461306572
549990,3.592222929
549990,3.5774409771
549990,3.53601384163
599989,4.35495686531
599989,4.43867707253
599989,4.377420187
599989,4.52618288994
649988,5.36533093452
649988,5.38756108284
649988,5.76450395584
649988,5.84414696693
699987,6.42863893509
699987,6.64489817619
699987,6.24410605431
699987,6.01862382889
749986,5.11861610413
749986,4.7933909893
749986,4.70737600327
749986,4.65679311752
799985,4.07868099213
799985,4.06376099586
799985,4.14698410034
799985,4.15024089813
849984,5.54803419113
849984,5.62230205536
849984,5.62057614326
849984,5.86316800117
899983,7.13560199738
899983,7.07474589348
899983,7.29819107056
899983,7.31945586205
949982,5.87024092674
949982,5.79270410538
949982,5.90198898315
949982,5.50104904175
999981,7.19775509834
999981,6.67682909966
999981,6.54980587959
999981,6.5741071701
