n,total
1,0.0969920158386
1,0.0964171886444
1,0.09623503685
2,0.0966920852661
2,0.0945670604706
2,0.0938971042633
5,0.0958480834961
5,0.0965268611908
5,0.0952990055084
10,0.0972330570221
10,0.0977139472961
10,0.097589969635
20,0.101446866989
20,0.101171016693
20,0.101074934006
50,0.113982915878
50,0.115653038025
50,0.115633964539
100,0.132755994797
100,0.133803844452
100,0.134528160095
200,0.171631097794
200,0.170996904373
200,0.171736001968
500,0.261677980423
500,0.261260986328
500,0.258572101593
1000,0.402065992355
1000,0.400789022446
1000,0.399164915085
2000,0.658939838409
2000,0.658216953278
2000,0.662451028824
5000,1.43855404854
5000,1.45334506035
5000,1.44734191895
10000,2.7845659256
10000,2.77429699898
10000,2.76888298988
20000,5.33702206612
20000,5.35837388039
20000,5.38416290283
50000,13.9207839966
50000,13.2243189812
50000,13.3012988567
100000,27.6167809963
100000,27.2747428417
100000,27.6876010895
