n,total
1,0.021332025528
1,0.0158619880676
1,0.015664100647
2,0.0158631801605
2,0.015939950943
2,0.0158882141113
5,0.0163099765778
5,0.0163128376007
5,0.0163559913635
10,0.017110824585
10,0.0170991420746
10,0.0170710086823
20,0.0187160968781
20,0.0186250209808
20,0.0185370445251
50,0.0234889984131
50,0.0234160423279
50,0.0231399536133
100,0.0308880805969
100,0.0313608646393
100,0.031327009201
200,0.0464780330658
200,0.0461552143097
200,0.046245098114
500,0.0945429801941
500,0.0951819419861
500,0.0933310985565
1000,0.286917924881
1000,0.222188949585
1000,0.180964946747
2000,0.410094022751
2000,0.444932222366
2000,0.446902990341
5000,1.22380018234
5000,1.17274093628
5000,1.17690014839
10000,2.18004417419
10000,2.33385396004
10000,2.24142694473
20000,4.50530695915
20000,4.51068806648
20000,4.49589800835
50000,12.1358819008
50000,12.2419188023
50000,12.2236120701
100000,25.4765121937
100000,25.5310418606
100000,24.6413428783
