n,total
1,0.0170328617096
1,0.0159599781036
1,0.01593708992
2,0.0160088539124
2,0.016163110733
2,0.0161261558533
5,0.0165681838989
5,0.016508102417
5,0.0165190696716
10,0.0173110961914
10,0.0173649787903
10,0.0173361301422
20,0.0188140869141
20,0.0187640190125
20,0.0187349319458
50,0.0232801437378
50,0.0231499671936
50,0.0230059623718
100,0.0311980247498
100,0.0309209823608
100,0.0316600799561
200,0.0467569828033
200,0.046856880188
200,0.0468502044678
500,0.0969939231873
500,0.0967519283295
500,0.0981869697571
1000,0.178669214249
1000,0.177766799927
1000,0.178871154785
2000,0.340427160263
2000,0.341140985489
2000,0.343736171722
5000,0.824816942215
5000,0.824363946915
5000,0.836760044098
10000,1.68138504028
10000,1.64581894875
10000,1.66456604004
20000,3.38448691368
20000,3.70589709282
20000,4.52039003372
50000,11.1823511124
50000,10.8363029957
50000,13.8283030987
100000,21.5966730118
100000,20.6289260387
100000,22.0809950829
