n,total
1,0.0169880390167
1,0.0159590244293
1,0.0158660411835
2,0.016037940979
2,0.0160849094391
2,0.0159931182861
5,0.0165131092072
5,0.0164170265198
5,0.016471862793
10,0.0175030231476
10,0.0171780586243
10,0.0173280239105
20,0.0188238620758
20,0.0187630653381
20,0.0190560817719
50,0.0235168933868
50,0.023078918457
50,0.0232141017914
100,0.0311141014099
100,0.0311570167542
100,0.0311050415039
200,0.0476338863373
200,0.0473120212555
200,0.0480101108551
500,0.0962071418762
500,0.0972521305084
500,0.0962829589844
1000,0.179233074188
1000,0.180850982666
1000,0.179764032364
2000,0.345618963242
2000,0.347132205963
2000,0.347265005112
5000,0.832586050034
5000,0.830816984177
5000,0.830827951431
10000,1.66491317749
10000,1.65986299515
10000,1.78691983223
20000,3.4718079567
20000,3.42197418213
20000,3.45995903015
50000,10.8360080719
50000,10.789509058
50000,10.9359529018
100000,21.1106028557
100000,22.093020916
100000,20.9654350281
