n,total,copy,populate
1000,0.0552141666412,0.0,0.2
1000,0.0470910072327,0.0,0.1
1000,0.0129699707031,0.0,0.1
2000,0.05535197258,0.1,0.2
2000,0.0385620594025,0.1,0.3
2000,0.0947618484497,0.1,0.4
5000,0.0604379177094,0.3,0.6
5000,0.0633919239044,0.3,0.8
5000,0.0744760036469,0.2,0.7
10000,0.0358898639679,0.7,0.15
10000,0.0893700122833,0.1,0.22
10000,0.0506501197815,0.8,0.17
20000,0.0791521072388,0.16,0.53
20000,0.057590007782,0.13,0.31
20000,0.0769319534302,0.12,0.3
50000,0.194582939148,0.36,0.101
50000,0.200031042099,0.36,0.119
50000,0.184572935104,0.35,0.97
100000,0.345937013626,0.97,0.202
100000,0.407971858978,0.124,0.238
100000,0.361712932587,0.99,0.215
200000,0.657835006714,0.174,0.424
200000,0.447222948074,0.141,0.304
200000,0.641613960266,0.197,0.394
