n,total,copy,populate
1000,0.0155909061432,0.1,0.1
1000,0.0550680160522,0.1,0.1
1000,0.0713028907776,0.2,0.1
2000,0.0659668445587,0.4,0.3
2000,0.0532610416412,0.4,0.3
2000,0.0266950130463,0.7,0.3
5000,0.11313700676,0.75,0.6
5000,0.160826921463,0.98,0.7
5000,0.142873048782,0.82,0.7
10000,0.365407943726,0.322,0.15
10000,0.41131901741,0.375,0.14
10000,0.410128116608,0.382,0.14
20000,1.43964886665,1.396,0.3
20000,1.4154150486,1.368,0.34
20000,1.43984103203,1.397,0.29
50000,4.54016685486,4.441,0.85
50000,4.24974799156,4.153,0.83
50000,4.22954010963,4.131,0.85
100000,18.7447180748,18.57,0.16
100000,17.1058239937,16.913,0.18
100000,18.588394165,17.668,0.156
200000,72.6675059795,72.261,0.398
200000,77.6062231064,77.238,0.358
200000,70.4452300072,70.86,0.35
